interaction_id,customer_id,campaign_id,channel,send_date,opened,clicked,converted
f76d6efa-0018-46fb-b336-e04591805b10,CUST001,CAMP004,Social Media,2026-04-26,True,False,True
,CUST001,CAMP005, eMail ,2026-06-11,False,False,True
6e2d0c41-c96f-4c7d-8839-24ed8123e6d3,CUST001,CAMP001,Webinar,2026-07-14,True,True,True
1c2afd7a-e455-4db3-af68-e06fd11f5694,CUST001,CAMP007,Search,2026-04-13,False,True,True
f97e1ef8-2269-43bb-b98a-39695c40877a,CUST001,CAMP010,Webinar,2026-03-22,True,True,False
,CUST002,CAMP009,Email,2026-02-12,True,False,False
,CUST002,CAMP001, eMail ,2026-04-19,False,False,False
811ed0d5-477a-42b1-8109-06254582c7fa,CUST002,CAMP008, eMail ,2026-05-18,True,False,False
,CUST003,CAMP002, eMail ,2026-03-29,True,False,False
5a6f6c8e-2ffd-4446-b952-d16348951711,CUST003,CAMP006,Webinar,2026-05-04,True,False,False
,CUST003,CAMP004,Webinar,2026-04-01,True,False,False
,CUST004,CAMP007,Search,2026-06-29,False,True,True
,CUST004,CAMP008,Email,2026-04-14,False,True,True
c3c9aaeb-d91f-4055-ab1f-ddd8ed470d80,CUST004,CAMP006,Webinar,2026-01-21,False,True,True
99abc6b8-2fcc-4e84-a3c6-afe6708c9c99,CUST004,CAMP008,Email,2026-03-08,True,True,True
2d2d74db-5594-4a6a-9253-14dd82826eb3,cust005,CAMP008,Email,2026-03-15,True,False,False
,CUST005,CAMP010,Search,2026-02-09,True,False,False
af29813d-733e-47c9-851a-a47098c98bd6,cust005,CAMP003,Social Media,2026-04-06,False,True,False
,CUST005,CAMP001, eMail ,2026-07-03,False,False,False
ab8c42e6-2489-4f00-ab73-a5e5a1514d86,CUST005,CAMP007,Search,2026-06-23,True,False,False
2aad6047-ae33-414e-8bdb-70c710df2076,CUST006,CAMP009,Social Media,2026-03-15,True,False,False
e1e60578-8c4b-4371-86f3-af48773be81a,CUST006,CAMP008, eMail ,2026-02-16,True,False,True
a080df72-67fd-4cce-9651-69a50a6dce2a,CUST007,CAMP005,Search,2026-02-23,False,True,False
adcf14ea-e0e9-4d33-b349-2cda54f4846c,CUST007,CAMP007,Webinar,2026-06-19,True,True,False
51e2c52f-77e5-470a-8933-7d6ff977fa4d,CUST008,CAMP008,Search,2026-01-21,True,True,False
f6033d79-92da-488a-b21e-724387451d0b,CUST008,CAMP007,Webinar,2026-05-18,False,False,False
34bc5765-d047-403d-bacc-9b69ec2319cf,CUST008,CAMP001,Email,2026-05-18,False,True,True
748c3a6f-47b3-46d2-8225-42309c30f947,CUST009,CAMP001,Social Media,2026-06-09,True,True,False
f3164c8e-7e0e-4eb9-9688-b7fb26b06546,CUST009,CAMP006,Social Media,2026-06-01,True,True,False
b811c7f0-ea18-4e72-8647-e4ef5da3f400,CUST009,CAMP006, eMail ,2026-03-12,False,True,True
,CUST009,CAMP003,Email,2026-07-16,False,True,False
,CUST010,CAMP003,Webinar,2026-05-04,False,False,True
1e3ad2c6-9327-459d-9c03-68d6f369de77,CUST010,CAMP002,Search,2026-05-18,False,True,False
5d7f7419-0fc6-4586-b25a-8c0663805864,CUST011,CAMP006,Email,2026-06-05,True,True,False
dab047b4-90d2-4d4e-ad29-777616d3bb15,CUST011,CAMP006,Webinar,2026-02-16,False,True,False
,CUST011,CAMP003,Email,2026-04-27,True,False,True
f250c1a5-a760-4e46-b1e7-44189c06a24f,CUST011,CAMP003,Email,2026-04-03,True,False,False
762f138e-08de-4aa4-b835-511aba8912ed,CUST012,CAMP002, eMail ,2026-04-16,False,False,False
60cdf4e3-8df2-4a90-b7c4-211c05f759c2,CUST012,CAMP006,Email,2026-06-22,True,False,False
,CUST013,CAMP001,Webinar,2026-05-02,False,False,False
deeb23d9-d2d6-4b4b-9ef2-41697288159d,CUST013,CAMP003,Webinar,2026-01-23,False,False,False
e8e7c88f-fbc5-4269-aab6-8dca4b9597bd,CUST013,CAMP001,Social Media,2026-06-22,False,False,False
ca4982f6-cc06-45af-870b-eb85aeb47485,CUST013,CAMP010,Social Media,2026-02-25,False,False,False
,cust014,CAMP009,Email,2026-05-09,True,False,False
07db46fb-f30c-4074-9729-e678227bb11c,CUST014,CAMP005, eMail ,2026-01-29,True,False,False
b541c0f5-017a-457f-9301-dc93db277547,CUST015,CAMP010,Email,2026-07-15,True,True,False
cfa150cc-2187-4939-9b80-ffe195e5d72a,CUST015,CAMP002, eMail ,2026-02-23,False,False,True
,CUST015,CAMP002,Search,2026-06-01,True,True,False
,CUST015,CAMP008,Search,2026-02-01,False,True,False
,CUST016,CAMP004,Social Media,2026-06-21,False,True,False
1698911b-c345-4e35-bd50-7bf624e0a003,CUST016,CAMP004, eMail ,2026-04-10,True,False,False
fac68a99-f950-40eb-976b-59fd1fc4a03a,CUST016,CAMP007, eMail ,2026-06-07,True,True,False
,CUST017,CAMP003,Search,2026-03-30,False,True,False
,CUST017,CAMP009,Email,2026-06-24,False,True,True
,CUST018,CAMP003,Email,2026-05-15,True,False,True
,CUST018,CAMP004,Social Media,2026-07-17,True,True,False
e5bdcbb7-702d-4f6e-b2b0-49ae9d5da36c,CUST019,CAMP007,Social Media,2026-02-01,False,False,True
6dd555b0-65dd-42df-a638-00d119eaf9e2,CUST019,CAMP003,Webinar,2026-04-17,True,True,False
,CUST019,CAMP001,Search,2026-07-01,True,True,True
,CUST019,CAMP008, eMail ,2026-03-24,False,True,True
4cda5ab0-1cb2-4b96-8cac-52c2a0415296,CUST019,CAMP001,Social Media,2026-01-31,False,False,False
d8778bf6-3136-499d-8762-4db434ee7cc2,CUST020,CAMP010,Email,2026-03-23,True,False,False
,CUST020,CAMP009, eMail ,2026-02-26,False,False,False
9def4fe2-0543-44e4-90de-f27ac26ff156,CUST020,CAMP008,Email,2026-03-13,False,False,False
,CUST020,CAMP009,Social Media,2026-02-27,True,False,False
73c888f6-ecf8-4d8d-acc8-807be6c37143,CUST021,CAMP002,Email,2026-06-27,True,False,False
,CUST021,CAMP005,Webinar,2026-05-26,False,False,False
107b41fe-5f54-465a-9a88-ed3102dc3bf6,CUST022,CAMP010,Email,2026-02-20,False,False,True
89da1ea6-4be0-4d23-bea9-a00873b9ccae,CUST022,CAMP004,Social Media,2026-06-09,True,True,True
7782392f-f5ed-40bb-ae45-3e9984a90790,CUST022,CAMP005,Search,2026-04-17,True,True,False
,CUST022,CAMP001,Search,2026-04-04,True,True,False
,CUST022,CAMP008,Social Media,2026-04-18,False,False,False
b271018f-f3f2-4285-8a6e-f569b32bcb6e,CUST023,CAMP003,Webinar,2026-04-19,True,True,False
bf8e4a15-7cf7-4377-9d3e-0e1f18e29dcd,CUST023,CAMP008,Social Media,2026-03-05,True,True,False
,CUST024,CAMP001,Email,2026-05-05,True,False,False
cf9a54de-f571-4cbb-883f-2981d7b7ce65,CUST024,CAMP008,Email,2026-01-30,False,False,False
aa2f2898-5f41-48ae-8ca0-ffab519f5bb5,CUST024,CAMP007,Search,2026-06-16,True,True,True
075abd65-448a-405f-bcc9-00c174697275,CUST025,CAMP001,Email,2026-02-21,False,False,False
d7c39c6a-d327-44f2-8a51-e9c2248126e1,CUST025,CAMP005, eMail ,2026-02-08,False,False,False
b2464cae-c81a-4164-8933-f3aa0f21ba1b,CUST025,CAMP007,Webinar,2026-06-16,False,False,False
f2f71e44-dbe6-469a-bf66-8f80de9cc5ca,CUST025,CAMP004,Social Media,2026-02-07,True,False,False
,CUST026,CAMP003, eMail ,2026-07-14,False,False,False
13914211-fa92-4bac-8d59-0a0f2c573ec9,CUST026,CAMP008,Webinar,2026-05-03,True,False,False
ec8f4e21-1ac0-46cd-bf67-439bfeeedf93,CUST026,CAMP004,Email,2026-06-19,True,False,False
9fc4d690-05a6-4054-b43e-5548ce401506,CUST026,CAMP008, eMail ,2026-03-22,False,False,False
,CUST026,CAMP010,Social Media,2026-01-29,True,False,False
,CUST027,CAMP005,Email,2026-03-08,True,False,False
56c9be5e-79e0-41aa-bd75-173b3225fdd2,CUST027,CAMP005, eMail ,2026-04-04,False,False,False
